id,name,amount,abstract,address,ref_number,university,year,area,survive,social_media,phone_call,No_members,No_alumni,No_professor,No_undergrad,No_postgrad,No_other,Employee,private_fund,Sciencepark
1,The Worldpath Limited,0.88,A group of educators believing in the power of technology and education in helping students to learn better. Primary focus includes English learning and Mandarin Chinese learning.,"16B, Yam Tze Commercial Building, 23 Thomson Road, Wan Chai, Hong Kong",TSSSU/CityU/14/01,City,2014,Information and Communication Technologies,0,0,0,6,2,1,0,0,3,,0,0
2,Animae Technologies Limited,0.484,"Animae Technologies develops interactive, smart, connected products for entertainment including toy-to-life and robots.","Unit 801B, 8/F, IC Development Centre, No. 6 Science Park West Avenue, Hong Kong Science Park, Shatin, New Territories, Hong Kong",TSSSU/CityU/14/02,City,2014,Information and Communication Technologies,1,1,0,2,2,0,0,0,0,8,0,1
3,Hong Kong Bilingual Learning and Translation Studies Association Co. Limited,0.2278,Hong Kong Bilingual Learning and Translation Studies Association Co. Limited was set up in 2013 to promote online education service and construct network for language learning. The team conducted research on the construction of online translation teaching platform during their PhD and post-doctoral studies and tried to transfer the technology to the industry.,-,TSSSU/CityU/14/03,City,2014,Information and Communication Technologies,0,0,0,3,3,0,0,0,0,,0,0
4,CINME TECH LIMITED,1.234482,"Cinme Tech is developing chemical sensors, based on the functional nanoparticle technology, which can instantly detect various chemicals. This major breakthrough in sensing technology can bring following benefits: significantly improve product quality; increase manufacturing and monitoring efficiency; rapidly respond to processing problems and reduce costs; real-time, on-the-spot and easy-to-use chemical analysis. Cinme Tech's chemical sensing technology enables economical, real-time analysis of many complex chemicals, instantly identifying the presence and quantity of multiple chemicals within a mixture. The results can be transferred directly into a process control computer or portable devices, allowing customers to consistently produce high quality products on time. Cinme Tech will provide high added value to the markets with real-time, sensitive, and accurate analytical hardware that is on the leading edge of chemical sensing technology.","8SB, Tower 5, Festival City Phase 3, Tai Wai, N. T.",TSSSU/CityU/14/04,City,2014,Nanotechnology and Materials Science,1,0,0,4,2,2,0,0,0,,0,0
5,C4Cat Entertainment Limited,0.179,"C4Cat is a mobile game company targeting hardcore gamer. Dynamix, the mobile music game is the first product of C4Cat. Dynamix introduces a new style of music game. Its triple-dropping track design provides a more rhythmical and varying play style.","Rm 1502, Blk 4, 15/F, Nan Fung Industrial City, 18 Tin Hau Road, Tuen Mun, Nt",TSSSU/CityU/14/05,City,2014,Information and Communication Technologies,1,1,0,10,0,0,1,0,9,15,0,0
6,Kung Fu Motion Limited,1.459337,"The Company licenses motion capture data generated through ""Hong Kong Martial Arts Living Archive"" - a research project involving the collaboration of International Guoshu Association and City University of Hong Kong - for commercial and special projects. As a social enterprise, funds generated through the Company's operations will be reinvested back into the research project.","26/F., Shanghai Industrial Investment Building, 48-62 Hennessy Road, Wanchai",TSSSU/CityU/14/06,City,2014,Information and Communication Technologies,1,0,1,3,0,2,0,0,1,1,0,0
7,Spreadfast Interactive Limited,0.571,Our electronic costumes are embedded with different sensors and sound devices to interact with human body. The crossover of music and fashion brings insights and initiatives to the consumer goods industry.,"Rm D, 9/F, Century Centre, 33-35 Au Pui Wan Street, Fo Tan, Shatin",TSSSU/CityU/14/07,City,2014,Electronics,0,0,0,4,0,2,2,0,0,,0,0
8,GlobeXchange Company Limited,0.389,"GlobeXchange is an interactive and communication platform for exchange students. Having the first-mover advantage, we hope to better fulfill the needs of exchange students and thus, allowing students to get exactly what they want from their overseas experience. We aim to create values for exchange students by offering customized and various services, making their life more convenient and interesting.
 
 We mainly offer 3 modules in ""ChangEX App"" : making friends, making ""accomplishment plan"" and sharing second-hand exchange/trade information. In ""making friends"" module, users can get to know local students and obtain information for the target university before they arrive. In ""my accomplishment"" module, they can make their own to-do list. In Stuff exchange module, users can buy things, mainly second-hand things, from others at a lower and more reasonable price or exchange with others using their own possessions. So, exchange student do not have to move the heavy luggage between their home university and host university.","Flat G, Floor 26, Block 2, Well On Garden, 9 Yuk Nga Lane, Tseung Kwan O, NT, Hong Kong",TSSSU/CityU/14/08,City,2014,Information and Communication Technologies,0,0,1,5,0,1,0,4,0,,0,0
9,Clothclip International Limited,0.6,"ClothClip is a creative and eco-friendly platform for users to bid for professional advice from fashion stylists. This channel enables users to communicate with other fashionistas around the town. Besides, the company provides fashion stores with online-to-offline marketing solution.",-,TSSSU/CityU/14/09,City,2014,Information and Communication Technologies,1,0,0,4,3,0,0,0,1,,0,0
10,NoPhish Technology Limited,1.014482,"NoPhish Technology Limited is committed to fight against phishing attacks by providing end-users and enterprises with the most advanced and proper technologies, software and services across all feasible platforms. NoPhish Tech. devotes itself to provide advanced and usable solutions against modern phishing attacks, including QR-code-initiated phishing attacks.","Unit 108B , 1/F., Enterprise Place, No. 5 Science Park West Avenue , Science Park, Shatin, N.T.",TSSSU/CityU/15/01,City,2015,Information and Communication Technologies,1,0,1,3,0,0,0,1,2,,1,0
