id,nearc2,nearc4,nearc4a,nearc4b,educ,age,south,famed,black,smsa,wage76,wage78,wage80,kww,iq,lwage76,lwage78,lwage80
2,0,0,0,0,7,29,0,9,1,1,548,500,755,15,NA,6.306275287,6.214608098,6.626717749
3,0,0,0,0,12,27,0,8,0,1,481,NA,769,35,93,6.17586727,NA,6.64509097
4,0,0,0,0,12,34,0,2,0,1,721,NA,NA,42,103,6.580639137,NA,NA
5,1,1,1,0,11,27,0,6,0,1,250,NA,NA,25,88,5.521460918,NA,NA
6,1,1,1,0,12,34,0,8,0,1,729,800,NA,34,108,6.591673732,6.684611728,NA
7,1,1,1,0,12,26,0,6,0,1,500,563,630,38,85,6.214608098,6.333279628,6.445719819
8,1,1,1,0,18,33,0,1,0,1,565,739,808,41,119,6.336825731,6.605297921,6.694562059
9,1,1,1,0,14,29,0,1,0,1,608,789,825,46,108,6.410174882,6.670766321,6.715383386
10,1,1,1,0,12,28,0,3,0,1,425,538,650,32,96,6.052089169,6.28785856,6.476972363
11,1,1,1,0,12,29,0,3,0,1,515,600,600,34,97,6.244166901,6.396929655,6.396929655
12,1,1,0,1,9,28,0,6,0,1,225,325,NA,29,84,5.416100402,5.783825182,NA
13,1,1,0,1,12,26,0,8,0,1,400,425,578,34,89,5.991464547,6.052089169,6.359573869
14,1,1,0,1,11,24,0,8,0,1,417,NA,NA,22,93,6.033086222,NA,NA
15,1,1,0,1,11,30,0,8,0,1,217,497,563,27,74,5.379897354,6.208590026,6.333279628
16,1,1,0,1,16,31,0,9,1,1,894,1038,1400,43,116,6.795705775,6.945051064,7.244227516
17,1,1,0,1,14,24,0,2,0,1,300,NA,NA,36,NA,5.703782475,NA,NA
18,1,1,0,1,11,34,0,6,0,1,NA,NA,NA,37,104,NA,NA,NA
19,1,1,0,1,12,34,0,5,0,1,346,375,NA,40,93,5.846438775,5.926926026,NA
20,1,1,0,1,14,29,0,4,0,1,658,784,936,35,100,6.489204931,6.66440902,6.841615476
22,1,1,0,1,10,26,0,8,0,1,575,625,600,24,91,6.354370041,6.43775165,6.396929655
24,1,1,0,1,10,27,0,9,0,1,NA,824,1020,38,82,NA,6.71417053,6.927557906
25,1,1,0,1,12,32,0,8,0,1,649,NA,NA,35,88,6.475432717,NA,NA
26,1,1,1,0,18,32,0,2,0,1,944,1269,1849,43,NA,6.850126166,7.145984468,7.522400231
29,1,1,1,0,18,34,0,9,0,1,614,936,1082,50,114,6.419994928,6.841615476,6.986566459
30,1,1,1,0,15,32,0,6,0,0,726,847,1154,37,111,6.587550015,6.741700695,7.050989447
31,0,1,1,0,12,28,0,2,0,1,604,380,425,44,NA,6.403574198,5.940171253,6.052089169
32,0,1,1,0,12,32,0,6,0,1,693,866,1000,44,95,6.541029999,6.763884909,6.907755279
34,0,1,1,0,14,25,0,6,0,1,NA,NA,NA,30,94,NA,NA,NA
35,0,1,1,0,18,34,0,1,0,0,1400,719,930,44,132,7.244227516,6.577861358,6.835184586
36,0,1,1,0,12,26,0,6,0,1,300,265,450,27,NA,5.703782475,5.579729826,6.109247583
37,0,1,1,0,18,32,0,1,0,1,1800,NA,NA,38,109,7.495541944,NA,NA
38,0,1,1,0,12,25,0,6,0,1,413,425,530,43,108,6.023447593,6.052089169,6.272877007
39,0,1,1,0,14,29,0,4,0,0,632,724,921,45,102,6.448889394,6.584791392,6.825460036
40,0,1,1,0,15,26,0,3,0,0,NA,700,900,40,125,NA,6.551080335,6.802394763
47,1,1,1,0,12,25,0,3,0,1,208,NA,NA,30,106,5.33753808,NA,NA
48,1,1,1,0,12,25,0,9,1,1,457,486,NA,40,104,6.124683391,6.186208624,NA
53,1,1,1,0,16,24,0,7,0,1,824,NA,1319,24,119,6.71417053,NA,7.184629153
54,1,1,1,0,18,34,0,4,0,1,577,1099,NA,47,122,6.357842267,7.002155954,NA
55,1,1,1,0,11,28,0,8,0,1,255,NA,NA,32,90,5.541263545,NA,NA
62,1,1,1,0,16,30,0,3,0,1,962,1325,1792,47,118,6.869014451,7.189167738,7.491087594
63,1,1,1,0,10,31,0,8,0,1,944,963,958,37,105,6.850126166,6.870053412,6.864847778
64,1,1,1,0,18,34,0,8,0,1,1146,1331,1548,43,115,7.044032897,7.193685818,7.344719054
68,1,1,1,0,12,32,0,9,0,1,NA,NA,NA,38,84,NA,NA,NA
69,1,1,1,0,13,27,0,7,1,1,NA,265,NA,31,94,NA,5.579729826,NA
77,1,1,1,0,6,27,0,8,0,1,324,468,463,16,NA,5.780743516,6.148468296,6.137727054
79,1,1,1,0,11,24,0,6,1,1,235,NA,NA,27,65,5.459585514,NA,NA
80,1,1,1,0,12,34,0,7,0,1,1000,NA,NA,45,120,6.907755279,NA,NA
81,1,1,1,0,9,26,0,4,0,1,481,490,NA,31,86,6.17586727,6.194405391,NA
82,1,1,1,0,15,32,0,6,0,1,624,881,1360,39,109,6.436150368,6.781057626,7.215239979
83,1,1,1,0,11,34,0,8,0,1,650,577,850,36,72,6.476972363,6.357842267,6.745236349
87,1,1,1,0,12,24,0,9,1,1,344,420,NA,31,NA,5.840641657,6.040254711,NA
90,1,1,1,0,16,24,0,5,0,1,380,558,803,NA,NA,5.940171253,6.324358962,6.688354714
91,1,1,1,0,12,24,0,5,0,1,353,1010,NA,25,101,5.866468057,6.91770561,NA
92,1,1,1,0,13,25,0,4,0,1,659,778,830,29,105,6.490723535,6.656726524,6.721425701
93,1,1,1,0,17,28,0,7,0,1,621,673,1106,48,136,6.431331082,6.51174533,7.008505182
97,1,1,1,0,12,25,0,7,0,1,440,NA,NA,40,101,6.086774727,NA,NA
98,1,1,1,0,12,26,0,5,1,1,738,800,1106,34,96,6.603943825,6.684611728,7.008505182
99,1,1,1,0,14,24,0,6,1,1,NA,NA,NA,36,104,NA,NA,NA
102,1,1,1,0,11,31,0,8,1,0,280,243,350,36,NA,5.634789603,5.493061443,5.857933154
104,1,1,1,0,13,26,0,3,1,1,NA,300,310,35,95,NA,5.703782475,5.736572297
107,1,1,1,0,10,24,0,9,0,1,434,604,1000,34,NA,6.073044534,6.403574198,6.907755279
108,1,1,1,0,12,27,0,9,0,1,705,872,471,34,101,6.558197803,6.770789424,6.154858094
110,1,1,1,0,12,27,0,6,0,1,425,721,1000,32,91,6.052089169,6.580639137,6.907755279
111,1,1,1,0,12,24,0,9,0,1,571,750,467,35,NA,6.34738921,6.620073207,6.146329258
112,1,1,1,0,16,30,0,3,0,1,538,NA,NA,52,115,6.28785856,NA,NA
114,1,1,1,0,14,27,0,4,0,1,NA,1070,1275,37,123,NA,6.975413927,7.150701458
115,1,1,1,0,16,32,0,3,0,1,740,1173,1615,49,113,6.606650186,7.067319849,7.387090236
116,1,1,1,0,13,32,0,6,0,1,673,938,1202,43,123,6.51174533,6.843749949,7.091742115
119,1,1,1,0,12,34,0,7,0,1,769,17628,873,36,95,6.64509097,9.777243826,6.771935556
121,1,1,1,0,12,24,0,7,0,1,592,NA,NA,26,102,6.383506635,NA,NA
125,1,1,1,0,9,24,0,5,1,1,213,250,169,15,NA,5.361292166,5.521460918,5.129898715
127,1,1,1,0,16,34,0,3,0,1,1563,1923,2137,50,145,7.35436233,7.561641746,7.667158255
129,1,1,1,0,16,28,0,7,0,1,774,962,1053,35,114,6.651571874,6.869014451,6.959398512
131,1,1,1,0,12,26,0,8,0,1,600,1010,933,35,113,6.396929655,6.91770561,6.838405201
132,1,1,1,0,16,25,0,1,0,1,NA,1154,1603,32,124,NA,7.050989447,7.379632153
133,1,1,1,0,18,24,0,1,0,1,693,904,1432,24,NA,6.541029999,6.80682936,7.266827348
134,1,1,1,0,16,29,0,2,0,1,NA,NA,NA,34,NA,NA,NA,NA
135,1,1,1,0,13,31,0,6,0,1,570,750,1188,40,93,6.345636361,6.620073207,7.0800265
136,1,1,1,0,14,28,0,3,0,1,433,648,NA,38,NA,6.070737728,6.473890696,NA
137,1,1,1,0,15,28,0,3,0,1,538,748,846,37,119,6.28785856,6.617402978,6.74051936
138,1,1,1,0,12,25,0,5,0,1,627,NA,NA,35,108,6.440946541,NA,NA
139,1,1,1,0,8,31,0,5,0,1,481,NA,NA,35,NA,6.17586727,NA,NA
141,1,1,1,0,12,26,0,8,0,1,545,NA,800,26,72,6.300785795,NA,6.684611728
142,1,1,1,0,12,25,0,5,0,1,576,677,417,34,86,6.356107661,6.517671273,6.033086222
144,1,1,1,0,16,25,0,2,0,1,700,NA,NA,42,123,6.551080335,NA,NA
147,1,1,1,0,16,28,0,3,0,1,788,942,1322,38,103,6.66949809,6.848005275,7.18690102
148,1,1,1,0,17,27,0,3,0,1,1012,1215,1619,42,101,6.91968385,7.102499356,7.389563954
149,1,1,1,0,12,24,0,5,0,1,758,905,1108,30,NA,6.630683386,6.807934944,7.010311867
150,1,1,1,0,14,29,0,2,0,1,601,673,NA,41,105,6.398594935,6.51174533,NA
151,1,1,1,0,12,24,0,4,0,1,283,917,1000,34,NA,5.645446898,6.821107472,6.907755279
153,1,1,1,0,12,26,0,3,0,1,NA,NA,NA,47,NA,NA,NA,NA
154,1,1,1,0,12,24,0,3,0,1,250,500,NA,29,NA,5.521460918,6.214608098,NA
155,1,1,1,0,13,27,0,6,0,1,NA,400,NA,24,95,NA,5.991464547,NA
156,1,1,1,0,12,26,0,6,0,1,500,900,850,33,95,6.214608098,6.802394763,6.745236349
157,1,1,1,0,11,31,0,8,0,1,550,NA,1120,41,98,6.309918278,NA,7.021083964
158,1,1,1,0,12,25,0,8,0,1,1143,600,700,27,NA,7.041411664,6.396929655,6.551080335
159,1,1,1,0,18,31,0,8,0,1,810,1106,800,39,115,6.697034248,7.008505182,6.684611728
164,1,1,1,0,12,28,0,9,1,1,313,292,NA,20,60,5.746203191,5.676753802,NA
166,1,1,1,0,18,25,0,9,0,1,731,885,1524,36,135,6.59441346,6.785587645,7.329093736
168,1,1,1,0,16,25,0,7,0,1,625,611,953,35,132,6.43775165,6.415096959,6.859614904
169,1,1,1,0,14,24,0,2,0,1,588,675,1000,33,106,6.376726948,6.514712691,6.907755279
170,1,1,1,0,14,26,0,3,0,1,375,900,1150,28,113,5.926926026,6.802394763,7.047517221
173,1,1,1,0,16,29,0,5,0,1,817,NA,NA,43,102,6.705639095,NA,NA
174,1,1,1,0,12,26,0,8,0,1,NA,NA,NA,35,100,NA,NA,NA
175,1,1,1,0,14,30,0,2,0,1,865,NA,NA,32,91,6.762729507,NA,NA
176,1,1,1,0,15,28,0,3,0,1,350,550,962,30,104,5.857933154,6.309918278,6.869014451
177,1,1,1,0,13,24,0,3,0,1,202,462,641,22,NA,5.308267697,6.135564891,6.463029457
178,1,1,1,0,13,32,0,1,0,1,505,635,NA,43,97,6.224558429,6.453624999,NA
179,1,1,1,0,17,30,0,2,0,1,816,978,1417,41,125,6.704414355,6.88550967,7.25629724
181,1,1,1,0,18,26,0,2,0,1,625,NA,NA,41,123,6.43775165,NA,NA
182,1,1,1,0,18,32,0,1,0,1,769,760,635,35,128,6.64509097,6.633318433,6.453624999
183,1,1,1,0,17,27,0,1,0,1,500,500,667,38,133,6.214608098,6.214608098,6.502790046
188,1,1,1,0,17,27,0,5,0,1,619,962,NA,32,114,6.428105273,6.869014451,NA
192,1,1,1,0,12,30,0,9,0,1,650,700,1000,40,103,6.476972363,6.551080335,6.907755279
194,0,1,1,0,18,28,0,6,0,1,769,931,1012,36,130,6.64509097,6.836259277,6.91968385
195,0,1,1,0,12,26,0,6,0,1,512,901,1010,33,97,6.238324625,6.803505258,6.91770561
196,0,1,1,0,18,31,0,2,0,1,625,875,1202,46,132,6.43775165,6.774223886,7.091742115
197,0,1,1,0,14,31,0,3,0,1,1111,NA,1423,41,98,7.01301579,NA,7.260522598
198,0,1,1,0,13,28,0,3,0,1,721,990,2667,41,108,6.580639137,6.897704943,7.888709524
199,0,1,1,0,14,32,0,2,0,1,1154,NA,NA,44,107,7.050989447,NA,NA
200,0,1,1,0,14,25,0,4,0,1,NA,NA,NA,43,115,NA,NA,NA
201,0,1,1,0,18,34,0,1,0,0,827,1282,667,40,129,6.717804695,7.156176637,6.502790046
204,0,1,1,0,16,34,0,2,0,1,923,NA,NA,56,NA,6.827629235,NA,NA
205,0,1,1,0,17,28,0,1,0,1,1076,1325,1779,42,132,6.981005741,7.189167738,7.483806688
208,0,1,1,0,14,28,0,4,1,1,NA,693,NA,46,97,NA,6.541029999,NA
209,0,1,1,0,12,33,0,9,0,1,625,817,NA,37,101,6.43775165,6.705639095,NA
210,0,1,1,0,13,27,0,9,0,1,460,724,782,24,92,6.131226489,6.584791392,6.661854741
211,0,1,1,0,15,27,0,5,0,1,NA,NA,NA,27,92,NA,NA,NA
213,0,1,1,0,14,24,0,6,1,1,900,1299,1571,39,108,6.802394763,7.169350017,7.359467638
214,0,1,1,0,18,29,0,8,0,1,682,1068,1282,NA,132,6.525029658,6.97354302,7.156176637
216,0,1,1,0,15,28,0,6,0,1,NA,NA,NA,27,107,NA,NA,NA
217,0,1,1,0,12,24,0,6,0,1,411,640,736,20,NA,6.018593214,6.461468176,6.601230119
218,0,1,1,0,13,27,0,2,0,1,625,962,1274,35,106,6.43775165,6.869014451,7.149916836
220,0,1,1,0,16,25,0,2,0,1,NA,1060,714,37,105,NA,6.966024187,6.570882962
222,0,1,1,0,18,32,0,3,0,1,1005,1058,1082,46,123,6.91274282,6.964135612,6.986566459
223,0,1,1,0,17,26,0,3,0,1,NA,NA,NA,35,117,NA,NA,NA
224,0,1,1,0,12,34,0,8,0,1,NA,NA,692,48,108,NA,NA,6.539585956
