"idcase","depvar","income","agehed","rooms","region","alt","ic","oc","chid"
1,FALSE,7,25,6,"ncostl","ec",859.9,553.34,1
1,FALSE,7,25,6,"ncostl","er",995.76,505.6,1
1,TRUE,7,25,6,"ncostl","gc",866,199.69,1
1,FALSE,7,25,6,"ncostl","gr",962.64,151.72,1
1,FALSE,7,25,6,"ncostl","hp",1135.5,237.88,1
2,FALSE,5,60,5,"scostl","ec",796.82,520.24,2
2,FALSE,5,60,5,"scostl","er",894.69,486.49,2
2,TRUE,5,60,5,"scostl","gc",727.93,168.66,2
2,FALSE,5,60,5,"scostl","gr",758.89,168.66,2
2,FALSE,5,60,5,"scostl","hp",968.9,199.19,2
3,FALSE,4,65,2,"ncostl","ec",719.86,439.06,3
3,FALSE,4,65,2,"ncostl","er",900.11,404.74,3
3,TRUE,4,65,2,"ncostl","gc",599.48,165.58,3
3,FALSE,4,65,2,"ncostl","gr",783.05,137.8,3
3,FALSE,4,65,2,"ncostl","hp",1048.3,171.47,3
4,FALSE,2,50,4,"scostl","ec",761.25,483,4
4,TRUE,2,50,4,"scostl","er",831.04,425.22,4
4,FALSE,2,50,4,"scostl","gc",835.17,180.88,4
4,FALSE,2,50,4,"scostl","gr",793.06,147.14,4
4,FALSE,2,50,4,"scostl","hp",1048.7,222.95,4
5,FALSE,2,25,6,"valley","ec",858.86,404.41,5
5,TRUE,2,25,6,"valley","er",985.64,389.52,5
5,FALSE,2,25,6,"valley","gc",755.59,174.91,5
5,FALSE,2,25,6,"valley","gr",846.29,138.9,5
5,FALSE,2,25,6,"valley","hp",883.05,178.49,5
6,FALSE,6,65,7,"scostl","ec",693.74,398.22,6
6,FALSE,6,65,7,"scostl","er",862.56,371.04,6
6,TRUE,6,65,7,"scostl","gc",666.11,135.67,6
6,FALSE,6,65,7,"scostl","gr",841.71,140.97,6
6,FALSE,6,65,7,"scostl","hp",859.18,209.27,6
7,FALSE,4,35,2,"scostl","ec",633.63,478.36,7
7,FALSE,4,35,2,"scostl","er",952.3,445.97,7
7,TRUE,4,35,2,"scostl","gc",670.1,191.84,7
7,FALSE,4,35,2,"scostl","gr",941.25,147.57,7
7,FALSE,4,35,2,"scostl","hp",1086.8,236.99,7
8,FALSE,6,20,7,"valley","ec",813.33,502.4,8
8,FALSE,6,20,7,"valley","er",1012.3,464.77,8
8,TRUE,6,20,7,"valley","gc",778.03,187.61,8
8,FALSE,6,20,7,"valley","gr",1022.1,158.66,8
8,FALSE,6,20,7,"valley","hp",990.21,203.78,8
9,FALSE,5,60,6,"scostl","ec",875.7,552.98,9
9,FALSE,5,60,6,"scostl","er",1024.8,451.76,9
9,TRUE,5,60,6,"scostl","gc",928.34,168.7,9
9,FALSE,5,60,6,"scostl","gr",1212.4,189.81,9
9,FALSE,5,60,6,"scostl","hp",1232.5,269.88,9
10,FALSE,7,20,2,"scostl","ec",775.86,532.22,10
10,FALSE,7,20,2,"scostl","er",874.49,472.39,10
