OBS,PRICE,NEW,SCRATCH,BIDRS,PERCENT
1,125,0,0,4,66.7
2,183.49,1,0,9,99.9
3,121.07,0,0,3,100
4,96,0,1,11,98.3
5,127.5,0,1,9,98
6,140.95,0,1,1,99.7
7,122.5,0,1,8,99.7
8,102.5,0,0,5,98.4
9,112.5,0,1,3,99.9
10,130,0,0,6,98.8
11,152.5,0,0,2,87.5
12,90,0,0,6,92.1
13,80,0,0,6,100
14,95.35,0,0,5,100
15,100,0,0,5,97.4
16,81,0,1,4,99.7
17,91.09,0,1,10,99.3
18,63.62,0,1,2,100
19,91,0,0,5,100
20,177.5,1,0,9,99.8
21,132.5,1,0,6,99.8
22,114.99,0,0,2,100
23,96,0,0,4,96.7
24,81,0,0,6,100
25,83,0,0,2,100
26,122.51,0,0,2,100
27,99.99,0,1,1,100
28,86,0,0,6,100
29,52.66,0,0,10,99.2
30,179.95,1,0,1,100
31,97.68,0,0,5,96.3
32,86.99,0,1,5,97.8
33,192.5,1,0,15,100
34,91.05,0,0,14,100
35,34.5,0,0,5,100
36,165,0,0,7,100
37,92.88,0,0,3,99.7
38,220,0,0,1,100
39,90,0,1,1,98.1
40,91,0,1,12,97.8
41,126.65,0,0,12,98.8
42,66.05,0,1,5,100
43,110,0,0,12,99
44,102.5,0,1,8,97.8
45,175,1,0,1,100
46,99,0,0,1,100
47,81,0,1,7,99.5
48,90,0,1,8,100
49,247.5,1,0,9,97.9
50,182.5,1,0,14,97.9
51,129.95,0,1,1,99.7
52,163,0,0,11,99.7
53,142.5,1,0,5,99.8
54,112.5,0,0,2,100
55,106.06,0,0,11,99.8
56,112.5,0,0,5,97.6
57,132.5,0,0,10,100
58,51,0,1,5,98.8
59,120,0,1,11,96.2
60,189.5,1,0,3,99.9
61,90,0,0,1,97.8
62,135.5,0,0,8,99.7
63,122,0,1,2,99.7
64,109.99,0,0,1,100
65,125,0,0,1,100
66,114.99,0,1,1,100
67,83,0,0,10,100
68,125,1,0,1,100
69,132.5,0,0,11,100
70,103.51,0,0,4,100
71,139.99,0,0,1,99.7
72,115.5,0,0,2,100
73,133,0,0,6,99.3
74,89.88,0,0,5,98.3
75,96,0,1,4,100
76,81,0,1,7,99.3
77,109.99,0,0,1,100
78,119.47,0,0,11,100
79,103.49,0,1,2,100
80,112.5,0,0,11,98.9
81,155,1,0,1,0
82,194.5,1,0,8,100
83,137.5,0,1,4,99.6
84,104.62,0,0,10,100
85,84,0,1,6,97.8
86,164,1,0,7,99.6
87,109.99,0,0,1,100
88,107.5,0,0,3,100
89,225,1,0,2,100
90,157.5,1,0,6,99.8
91,169.78,1,0,13,97.9
92,142.5,0,0,7,100
93,105,0,0,1,99.6
94,142.5,0,0,7,96.4
95,102.5,0,0,9,100
96,152.5,1,0,2,100
97,98.57,0,1,10,98.8
98,87,0,0,7,99.7
99,111.42,0,0,4,99.5
100,86,0,1,7,99.7
101,152.51,0,0,7,100
102,220,1,0,8,99.5
103,192.5,1,0,8,100
104,135.99,0,1,1,99.7
105,47.21,0,1,6,100
106,96,0,0,3,98.7
107,139.99,1,0,1,98.2
108,99.98,0,0,11,99.8
109,98.5,1,0,7,99.8
110,75,0,0,1,100
111,85,0,0,7,100
112,66.78,0,1,9,100
113,199.99,1,0,1,99.8
114,56,0,1,6,96.6
115,81,0,0,4,100
116,128.5,0,1,1,99.9
117,170.5,1,0,2,99.9
118,127.5,0,0,2,100
119,122.5,0,0,7,99.2
120,128,0,0,6,100
121,114.5,0,0,8,99.5
122,131.5,0,0,9,100
123,56.15,0,1,6,100
124,220,0,0,7,100
125,150,0,0,1,100
126,184,1,0,12,99.7
127,202.5,1,0,11,100
128,86,0,0,9,99.7
129,187.5,1,0,3,100
130,130,0,1,1,99.7
131,94.01,0,0,4,99.3
132,104.26,0,0,8,95
133,105.75,0,1,6,99.7
134,76,0,0,8,98.1
135,109.5,0,0,7,100
136,132.5,1,0,4,100
137,122.5,0,0,10,100
138,119.95,0,0,1,100
139,179.5,1,0,8,99.8
140,152.5,1,0,5,100
141,142.5,0,0,10,98.8
142,114,0,0,8,100
143,186,1,0,9,97.9
144,104.4,0,0,2,98.9
145,107.5,0,1,8,100
146,135,0,0,12,100
147,103.62,0,0,6,100
148,194.5,1,0,14,99.8
149,107.99,0,0,6,100
150,150,1,0,3,100
151,128.5,0,0,7,100
152,98,0,1,12,97.8
153,100,0,0,10,98.4
154,140.5,0,0,11,100
155,137.5,0,1,6,97.8
156,73,0,0,4,100
157,117.5,0,1,3,99.7
158,76,0,0,6,83.3
159,79.99,0,0,1,95.1
160,110.49,0,1,7,99.8
161,86,0,0,7,100
162,177.5,1,0,10,100
163,95,0,1,7,99.1
164,112.5,0,0,7,99
165,51,0,1,6,100
166,170.5,1,0,11,97.9
167,111,1,0,7,100
168,74,0,1,4,100
169,60,0,1,1,100
170,96,1,0,5,99.8
171,230,0,0,1,93.5
172,83.65,0,1,4,97.1
173,123.01,0,0,2,100
174,105.11,0,0,7,100
175,135,1,0,12,93.9
176,100,0,0,11,75
177,154.5,0,0,8,100
178,127.5,0,0,8,98.8
179,84,0,0,4,100
180,108.5,1,0,4,50
181,114.5,0,0,6,100
182,76,0,1,4,100
183,96,0,0,2,99.5
184,147.5,0,0,9,100
185,55.01,0,1,8,98.2
186,127.5,0,0,7,98.7
187,76,0,0,7,100
188,187.5,1,0,9,97.9
189,182.79,1,0,2,99.8
190,188,1,0,7,100
191,199.99,1,0,1,100
192,96,0,0,7,100
193,141,0,0,7,99.5
194,140,0,0,1,100
195,9.99,0,1,1,99.5
196,76.76,0,0,8,100
197,152.5,0,0,8,98.2
198,140,0,0,13,100
199,100,0,0,8,100
200,112.5,1,0,5,99.8
