nkid,ngir,yrbirth,hours,wagert,school,jobten,cpi,black,other,age,mcol,mhigh,fcol,fhigh,manager,prof,self,crafts,labor,farm,married,never,divorce,psidJAN,psidFEB,psidMARCH,psidAPRIL,psidMAY,psidJUNE,psidJULY,psidAUG,psidSEPT,psidOCT,psidNOV,psidDEC
2,1,1951,347,2.88,9,223,1.4,0,0,41,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1949,3417,22.61,16,246,1.4,0,0,43,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,1959,2076,16.86,12,168,1.4,0,0,33,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1966,2295,8.28,10,24,1.4,0,0,26,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1946,2400,7.71,11,36,1.4,0,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1965,1920,6.77,14,24,1.4,1,0,27,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2,1961,2040,7.35,15,30,1.4,1,0,31,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1953,2295,14.81,12,156,1.4,0,0,39,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,1948,2209,36.22,12,36,1.4,0,0,44,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,1953,2583,4.84,12,3,1.4,0,0,39,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,1963,2178,18.82,12,96,1.4,0,0,29,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1961,2780,10.79,17,60,1.4,0,0,31,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,1957,1600,20,12,42,1.4,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1958,1307,6.12,12,6,1.4,0,1,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,1956,3000,14.67,12,84,1.4,0,0,36,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,1952,2142,12.14,12,192,1.4,0,0,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1947,2480,20.97,13,156,1.4,0,0,45,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1964,1971,10.25,12,36,1.4,1,0,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1971,1611,4.97,12,3,1.4,0,0,21,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1962,1956,16.36,14,96,1.4,0,0,30,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,1960,2325,21.51,12,132,1.4,0,0,32,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,1962,2010,14.93,10,48,1.4,0,0,30,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1955,1020,14.71,8,24,1.4,0,0,37,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1969,2340,12.82,12,12,1.4,0,0,23,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,1959,1990,9.05,12,168,1.4,0,0,33,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1964,1928,8.82,13,78,1.4,0,0,28,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1959,1864,26.82,16,132,1.4,0,0,33,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1941,1320,16.67,12,324,1.4,0,0,51,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1957,2510,10.2,11,72,1.4,0,0,35,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1959,2295,10.89,9,24,1.4,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1961,2601,11.92,12,162,1.4,0,0,31,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,0,1964,2805,7.49,11,42,1.4,0,0,28,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,1967,2150,7.12,10,9,1.4,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1961,1920,10.94,9,24,1.4,0,0,31,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,1958,1920,17.19,12,54,1.4,0,0,34,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,1950,2664,22.52,16,24,1.4,0,0,42,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1970,2525,7.52,12,42,1.4,0,0,22,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,1952,2319,20.56,16,216,1.4,0,0,40,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1957,1490,24.83,16,144,1.4,0,0,35,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1960,1890,15.87,12,144,1.4,0,0,32,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,1956,2080,21.15,12,96,1.4,0,0,36,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1965,1200,8.33,12,10,1.4,0,0,27,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,1950,2838,16.56,12,108,1.4,0,0,42,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1958,2080,43.27,12,204,1.4,0,0,34,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1953,3060,11.03,11,24,1.4,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1963,2144,25.65,16,120,1.4,0,0,29,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1958,2196,17.3,12,72,1.4,0,0,34,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1959,1930,11.14,13,168,1.4,0,0,33,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2,1956,2207,31.72,17,54,1.4,0,0,36,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
